date,departure_total_delay_mins
2008-01-03,353459
2008-01-04,313734
2008-01-05,333774
2008-01-06,348636
2008-01-07,278903
2008-01-08,243514
2008-01-09,143159
2008-01-10,198799
2008-01-11,238677
2008-01-12,78760
2008-01-13,147519
2008-01-14,150793
2008-01-15,133179
2008-01-16,119011
2008-01-17,374516
2008-01-18,252565
2008-01-19,187702
2008-01-20,161163
2008-01-21,400649
2008-01-22,335202
2008-01-23,235637
2008-01-24,200697
2008-01-25,266815
2008-01-26,132591
2008-01-27,399585
2008-01-28,265513
2008-01-29,237232
2008-01-30,178419
2008-01-31,433207
2008-01-02,470367
2008-01-01,378031
2008-02-02,156459
2008-02-03,304508
2008-02-04,372892
2008-02-05,313833
2008-02-06,301864
2008-02-07,212722
2008-02-08,246705
2008-02-09,108724
2008-02-10,271627
2008-02-11,265600
2008-02-12,421826
2008-02-13,442894
2008-02-14,264026
2008-02-15,269081
2008-02-16,200773
2008-02-17,375396
2008-02-18,428998
2008-02-19,247290
2008-02-20,228184
2008-02-21,323296
2008-02-22,499211
2008-02-23,242628
2008-02-24,261066
2008-02-25,264930
2008-02-26,407492
2008-02-27,171874
2008-02-28,156890
2008-02-29,276637
2008-02-01,489413
2008-03-03,292259
2008-03-04,328213
2008-03-05,248360
2008-03-06,213157
2008-03-07,432107
2008-03-08,478176
2008-03-09,338351
2008-03-10,258571
2008-03-11,161713
2008-03-12,199416
2008-03-13,166095
2008-03-14,233746
2008-03-15,337340
2008-03-16,255591
2008-03-17,213921
2008-03-18,380973
2008-03-19,507369
2008-03-20,321732
2008-03-21,350436
2008-03-22,210375
2008-03-23,166403
2008-03-24,155878
2008-03-25,250814
2008-03-26,158874
2008-03-27,277218
2008-03-28,299229
2008-03-29,166835
2008-03-30,342080
2008-03-31,511312
2008-03-01,140787
2008-03-02,215823
2008-04-03,224781
2008-04-04,568989
2008-04-05,206036
2008-04-06,283556
2008-04-07,179239
2008-04-08,159650
2008-04-09,199709
2008-04-10,404082
2008-04-11,361777
2008-04-12,175466
2008-04-13,174294
2008-04-14,136333
2008-04-15,102687
2008-04-16,125967
2008-04-17,137069
2008-04-18,166045
2008-04-19,124697
2008-04-20,212308
2008-04-21,148696
2008-04-22,101000
2008-04-23,142749
2008-04-24,151886
2008-04-25,299561
2008-04-26,159055
2008-04-27,160645
2008-04-28,342358
2008-04-29,136357
2008-04-30,110746
2008-04-01,337714
2008-04-02,156010
2008-05-03,144236
2008-05-04,148163
2008-05-05,159218
2008-05-06,126368
2008-05-07,199714
2008-05-08,158437
2008-05-09,249442
2008-05-10,101453
2008-05-11,224555
2008-05-12,266230
2008-05-13,127270
2008-05-14,199165
2008-05-15,177012
2008-05-16,298814
2008-05-17,96043
2008-05-18,180781
2008-05-19,179031
2008-05-20,233559
2008-05-21,153795
2008-05-22,293605
2008-05-23,232245
2008-05-24,116993
2008-05-25,68483
2008-05-26,125223
2008-05-27,337000
2008-05-28,136781
2008-05-29,122349
2008-05-30,235455
2008-05-31,232851
2008-05-01,155989
2008-05-02,495912
2008-06-02,121768
2008-06-03,250370
2008-06-04,407585
2008-06-05,346043
2008-06-06,358238
2008-06-07,213048
2008-06-08,403606
2008-06-09,371661
2008-06-10,335216
2008-06-11,240100
2008-06-12,245332
2008-06-13,363923
2008-06-14,253204
2008-06-15,369018
2008-06-16,430616
2008-06-17,255261
2008-06-18,234037
2008-06-19,344259
2008-06-20,242161
2008-06-21,221915
2008-06-22,416855
2008-06-23,386194
2008-06-24,235205
2008-06-25,260548
2008-06-26,428710
2008-06-27,379415
2008-06-28,264821
2008-06-29,426092
2008-06-30,217630
2008-06-01,184239
2008-07-02,256315
2008-07-03,180284
2008-07-04,83389
2008-07-05,137595
2008-07-06,404884
2008-07-07,380554
2008-07-08,386291
2008-07-09,299926
2008-07-10,397706
